Fecha,Producto,Categoria,Region,Ventas,Cantidad,Costo
2025-01-02,Smartphone Alpha,Electronica,Norte,1200,2,800
2025-01-03,Laptop Pro,Electronica,Sur,2500,1,1800
2025-01-05,Silla Ergonomica,Muebles,Este,300,3,150
2025-01-07,Teclado Mecanico,Accesorios,Oeste,150,5,50
2025-01-10,Monitor 4K,Electronica,Sur,600,1,400
2025-01-12,Smartphone Alpha,Electronica,Norte,2400,4,1600
2025-01-15,Escritorio Madera,Muebles,Este,450,1,200
2025-01-18,Auriculares NC,Accesorios,Sur,375,3,150
2025-01-20,Laptop Pro,Electronica,Oeste,2500,1,1800
2025-01-22,Silla Ergonomica,Muebles,Norte,400,4,200
2025-01-25,Monitor 4K,Electronica,Este,1200,2,800
2025-01-28,Teclado Mecanico,Accesorios,Sur,90,3,30
2025-02-01,Smartphone Alpha,Electronica,Oeste,1200,2,800
2025-02-02,Laptop Pro,Electronica,Este,5000,2,3600
2025-02-04,Escritorio Madera,Muebles,Sur,900,2,400
2025-02-06,Auriculares NC,Accesorios,Norte,125,1,50
2025-02-08,Silla Ergonomica,Muebles,Oeste,200,2,100
2025-02-10,Monitor 4K,Electronica,Norte,600,1,400
2025-02-12,Smartphone Alpha,Electronica,Sur,1200,2,800
2025-02-14,Teclado Mecanico,Accesorios,Este,300,10,100
2025-02-16,Laptop Pro,Electronica,Sur,2500,1,1800
2025-02-18,Silla Ergonomica,Muebles,Norte,500,5,250
2025-02-20,Monitor 4K,Electronica,Oeste,1800,3,1200
2025-02-22,Escritorio Madera,Muebles,Este,450,1,200
2025-02-25,Auriculares NC,Accesorios,Sur,500,4,200
2025-02-27,Teclado Mecanico,Accesorios,Oeste,60,2,20
2025-03-01,Smartphone Alpha,Electronica,Sur,2400,4,1600
2025-03-03,Laptop Pro,Electronica,Norte,2500,1,1800
2025-03-05,Silla Ergonomica,Muebles,Este,700,7,350
2025-03-07,Monitor 4K,Electronica,Sur,600,1,400
2025-03-09,Escritorio Madera,Muebles,Oeste,1350,3,600
2025-03-11,Teclado Mecanico,Accesorios,Norte,210,7,70
2025-03-13,Smartphone Alpha,Electronica,Este,1200,2,800
2025-03-15,Auriculares NC,Accesorios,Sur,250,2,100
2025-03-17,Laptop Pro,Electronica,Oeste,5000,2,3600
2025-03-19,Silla Ergonomica,Muebles,Norte,300,3,150
2025-03-21,Monitor 4K,Electronica,Este,2400,4,1600
2025-03-23,Escritorio Madera,Muebles,Sur,450,1,200
2025-03-25,Teclado Mecanico,Accesorios,Norte,150,5,50
2025-03-27,Smartphone Alpha,Electronica,Oeste,3600,6,2400
2025-03-29,Laptop Pro,Electronica,Este,2500,1,1800
2025-03-31,Auriculares NC,Accesorios,Sur,625,5,250
